run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T13:34:21,9.82274583898415e-11,0.23924470444683266,24.308
2,2026-04-09T13:34:24,9.693626007165728e-11,0.239925722050657,24.381
3,2026-04-09T13:34:26,9.656882494349462e-11,0.2504606230919535,25.504
4,2026-04-09T13:34:28,1.1107581569394858e-11,0.2477985717929414,25.221
5,2026-04-09T13:34:31,1.0806952149863634e-11,0.25048924729946975,25.507
6,2026-04-09T13:34:33,1.069420022099052e-11,0.2453273485440377,24.957
7,2026-04-09T13:34:36,1.1189926325139397e-11,0.25083393046497804,25.544
8,2026-04-09T13:34:38,1.107407838217566e-11,0.2503067679765536,25.488
9,2026-04-09T13:34:41,9.731135555381774e-11,0.25101760246320737,25.564
10,2026-04-09T13:34:43,9.505196931119235e-11,0.2381891867946706,24.195
11,2026-04-09T13:34:46,9.675294434582517e-11,0.23827625209253256,24.205
12,2026-04-09T13:34:48,9.700126096562946e-11,0.23771211666939962,24.145
13,2026-04-09T13:34:51,9.673086548715205e-11,0.23507153352602472,23.863
14,2026-04-09T13:34:53,9.718255937707109e-11,0.23700128218274585,24.069
15,2026-04-09T13:34:55,9.730774670726323e-11,0.2349665780984651,23.851
16,2026-04-09T13:34:58,9.49169099655878e-11,0.23731257043948517,24.102
17,2026-04-09T13:35:00,9.456959566062716e-11,0.23983865675279503,24.372
18,2026-04-09T13:35:03,9.735771795641367e-11,0.2353112612639734,23.888
19,2026-04-09T13:35:05,9.690721127070192e-11,0.23584319445365054,23.945
20,2026-04-09T13:35:08,9.697581341987434e-11,0.2375439494502416,24.127
21,2026-04-09T13:35:11,9.825617265956402e-11,0.24033003898182415,24.424
22,2026-04-09T13:35:13,1.1129633346749763e-11,0.24750517366589975,25.189
23,2026-04-09T13:35:16,9.907643098734677e-11,0.25084347186748346,25.545
24,2026-04-09T13:35:18,9.823977089396606e-11,0.24710920546192483,25.147
25,2026-04-09T13:35:21,9.850649466951634e-11,0.2447250475108831,24.893
26,2026-04-09T13:35:23,9.803291208605082e-11,0.24355145500271647,24.768
27,2026-04-09T13:35:25,9.801439613610537e-11,0.24149051206154581,24.548
28,2026-04-09T13:35:28,9.815592672493416e-11,0.24129968401143742,24.527
29,2026-04-09T13:35:30,9.029588216616604e-12,0.25108797030668484,25.571
30,2026-04-09T13:35:33,1.3159656991430156e-11,0.2505250275588651,25.511
