run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T15:43:10,1.2715300475799166e-10,0.2506574145186278,25.525
2,2026-04-09T15:43:12,1.2785025666780495e-10,0.26652715223576706,27.215
3,2026-04-09T15:43:15,1.2710699055603802e-10,0.2609835973801182,26.625
4,2026-04-09T15:43:17,1.2709591486832927e-10,0.24875748274473608,25.323
5,2026-04-09T15:43:19,1.2702757710390993e-10,0.245268907453692,24.951
6,2026-04-09T15:43:22,1.269974722696351e-10,0.2453058803884005,24.955
7,2026-04-09T15:43:24,1.2773135540217529e-10,0.2448669758731512,24.908
8,2026-04-09T15:43:27,1.2739868710942348e-10,0.24264144373876206,24.671
9,2026-04-09T15:43:29,1.2696818909319747e-10,0.24738948416052153,25.177
10,2026-04-09T15:43:32,1.2698897201608517e-10,0.2479094905970669,25.232
11,2026-04-09T15:43:34,1.2729162504858363e-10,0.24899840315799793,25.348
12,2026-04-09T15:43:36,1.2703559404026442e-10,0.25057989062327124,25.517
13,2026-04-09T15:43:39,1.2713074929604953e-10,0.25047254984508527,25.506
14,2026-04-09T15:43:41,1.269789050717466e-10,0.25140522193999004,25.605
15,2026-04-09T15:43:44,1.2693796249293712e-10,0.24316979890249968,24.727
16,2026-04-09T15:43:46,1.2692344863721376e-10,0.2617576436583704,26.708
17,2026-04-09T15:43:49,1.271673449111893e-10,0.26985113833359264,27.569
18,2026-04-09T15:43:51,1.2726157535319278e-10,0.24346796773079404,24.759
19,2026-04-09T15:43:53,1.2642941250899162e-10,0.25928880576009306,26.445
20,2026-04-09T15:43:56,1.2632816806338612e-10,0.24739425486177424,25.177
21,2026-04-09T15:43:58,1.263128274491128e-10,0.2537714897613341,25.857
22,2026-04-09T15:44:01,1.2693454847302278e-10,0.25430938632757716,25.914
23,2026-04-09T15:44:03,1.2654722991410824e-10,0.25183458505273393,25.651
24,2026-04-09T15:44:06,1.272168573606773e-10,0.2553482065253547,26.025
25,2026-04-09T15:44:08,1.26496527797539e-10,0.25611390407641466,26.107
26,2026-04-09T15:44:10,1.2710684680353324e-10,0.2573387816230479,26.237
27,2026-04-09T15:44:13,1.271228084961242e-10,0.2665510057420306,27.218
28,2026-04-09T15:44:15,1.2706279926636463e-10,0.25505003769706036,25.993
29,2026-04-09T15:44:18,1.273348185634489e-10,0.2560840871935852,26.103
30,2026-04-09T15:44:20,1.268557799170835e-10,0.2536975438919171,25.849
