run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T15:38:53,1.2717467053992512e-10,0.2337655540580954,23.723
2,2026-04-09T15:38:56,1.26937654557347e-10,0.23429867992308573,23.78
3,2026-04-09T15:38:58,1.2729537972375426e-10,0.23493437586500932,23.848
4,2026-04-09T15:39:01,1.2702478982945852e-10,0.2301839500926235,23.341
5,2026-04-09T15:39:03,1.2750415988007706e-10,0.23243572108390254,23.581
6,2026-04-09T15:39:06,1.2705068556524358e-10,0.2331048119345951,23.653
7,2026-04-09T15:39:08,1.2686165268453516e-10,0.2325120523039459,23.589
8,2026-04-09T15:39:11,1.2710038978540457e-10,0.2325275570830172,23.591
9,2026-04-09T15:39:13,1.2688566845395553e-10,0.23435712101343142,23.786
10,2026-04-09T15:39:16,1.26932578027841e-10,0.23415317353487808,23.765
11,2026-04-09T15:39:18,1.2702097239731076e-10,0.23237727999355684,23.575
12,2026-04-09T15:39:21,1.2700149401376025e-10,0.23123827506947237,23.453
13,2026-04-09T15:39:23,1.2527728230460978e-10,0.23232480227977703,23.569
14,2026-04-09T15:39:25,1.2304151512518652e-10,0.23135396457485058,23.466
15,2026-04-09T15:39:28,1.267387669047221e-10,0.23021973035201881,23.344
16,2026-04-09T15:39:30,1.2714052582802317e-10,0.2308029485801626,23.407
17,2026-04-09T15:39:33,1.259110499599316e-10,0.2321840665928221,23.554
18,2026-04-09T15:39:35,1.2703412916771454e-10,0.23306306829863388,23.648
19,2026-04-09T15:39:37,1.2684909191235044e-10,0.23201232134772454,23.536
20,2026-04-09T15:39:40,1.2675545933750598e-10,0.23611393174974182,23.974
21,2026-04-09T15:39:42,1.2717825724366716e-10,0.2365814604725074,24.024
22,2026-04-09T15:39:45,1.2650069760509646e-10,0.2399507682322337,24.383
23,2026-04-09T15:39:47,1.267061503619977e-10,0.23958342423577506,24.344
24,2026-04-09T15:39:50,1.2703426817768554e-10,0.24049343549972946,24.441
25,2026-04-09T15:39:52,1.269946015300013e-10,0.24035269981277452,24.426
26,2026-04-09T15:39:55,1.2686436824925741e-10,0.24069619030296963,24.463
27,2026-04-09T15:39:57,1.2605399966611475e-10,0.24137124453022807,24.535
28,2026-04-09T15:39:59,1.2667295850352462e-10,0.24088582567776484,24.483
29,2026-04-09T15:40:02,1.2706062803490986e-10,0.2372422025960077,24.094
30,2026-04-09T15:40:05,1.2674939649676036e-10,0.23464336308859401,23.817
