run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T10:02:35,1.5296262586793114e-10,0.25294973647055485,25.77
2,2026-04-09T10:02:37,1.5269599571977164e-10,0.2531584546503609,25.792
3,2026-04-09T10:02:39,1.5313040426072024e-10,0.252231745932022,25.693
4,2026-04-09T10:02:42,1.5336926278555666e-10,0.2518190802736626,25.649
5,2026-04-09T10:02:44,1.529407327654503e-10,0.25225202141234604,25.695
6,2026-04-09T10:02:47,1.5281415041988961e-10,0.25395993246081616,25.877
7,2026-04-09T10:02:49,1.5321237214892576e-10,0.2510414559694709,25.566
8,2026-04-09T10:02:52,1.5300881992872636e-10,0.24963052107398198,25.416
9,2026-04-09T10:02:54,1.5347268255786373e-10,0.25239872047586687,25.711
10,2026-04-09T10:02:57,1.5337166258821382e-10,0.2528400103417425,25.758
11,2026-04-09T10:02:59,1.530179706648309e-10,0.25245239086495985,25.717
12,2026-04-09T10:03:02,1.5333922270479078e-10,0.25368561713878535,25.848
13,2026-04-09T10:03:04,1.5324167830917877e-10,0.25264798961632096,25.737
14,2026-04-09T10:03:06,1.5315060899347654e-10,0.2477615988582329,25.217
15,2026-04-09T10:03:09,1.5304771694977744e-10,0.24997639691480344,25.453
16,2026-04-09T10:03:11,1.5326152895579445e-10,0.2515924719641589,25.625
17,2026-04-09T10:03:14,1.534653980260242e-10,0.2501326373808297,25.469
18,2026-04-09T10:03:16,1.5340699452344834e-10,0.2513074225643095,25.595
19,2026-04-09T10:03:19,1.5277087041566123e-10,0.25182385097491533,25.65
20,2026-04-09T10:03:21,1.5288210456129896e-10,0.2510796215794926,25.57
21,2026-04-09T10:03:24,1.529290015415164e-10,0.2470209474887497,25.138
22,2026-04-09T10:03:26,1.532933978407411e-10,0.24947905130920844,25.4
23,2026-04-09T10:03:28,1.5350191982434984e-10,0.25293900239273626,25.768
24,2026-04-09T10:03:31,1.4768328079635943e-10,0.2517415563783061,25.641
25,2026-04-09T10:03:33,1.534897425779703e-10,0.25403507100554634,25.885
26,2026-04-09T10:03:36,1.525564048843684e-10,0.2524285373586963,25.714
27,2026-04-09T10:03:38,1.5318912063867838e-10,0.2480216020765056,25.244
28,2026-04-09T10:03:41,1.5337418331388922e-10,0.24994896538260036,25.45
29,2026-04-09T10:03:43,1.5317907808108557e-10,0.25131577129150173,25.595
30,2026-04-09T10:03:46,1.5317275963395292e-10,0.2532121250394539,25.798
