run,time,capacitance_value,thermo_volt,temperature_C
1,2026-04-09T17:23:44,1.2522780225092144e-10,0.05737960931696762,4.687
2,2026-04-09T17:23:46,1.2545899191978415e-10,0.06727404371508783,5.766
3,2026-04-09T17:23:49,1.2546959457541004e-10,0.07474019117557873,6.579
4,2026-04-09T17:23:51,1.2618549617134609e-10,0.0740854124286443,6.508
5,2026-04-09T17:23:54,1.2610855737884237e-10,0.07598772955316235,6.715
6,2026-04-09T17:23:56,1.2632787299906932e-10,0.07328870531944176,6.421
7,2026-04-09T17:23:58,1.260778200657772e-10,0.07455890452797576,6.559
8,2026-04-09T17:24:01,1.2632295522164802e-10,0.07359283752430201,6.454
9,2026-04-09T17:24:03,1.2608317101973495e-10,0.0726196144687492,6.348
10,2026-04-09T17:24:06,1.2642194712669962e-10,0.07088546456338918,6.159
11,2026-04-09T17:24:08,1.2745183295000208e-10,0.08059026358671417,7.216
12,2026-04-09T17:24:11,1.2644818783186466e-10,0.0762393840442428,6.742
13,2026-04-09T17:24:13,1.2726222447651378e-10,0.0846847179368524,7.661
14,2026-04-09T17:24:16,1.2758565977549147e-10,0.07539377724719998,6.65
15,2026-04-09T17:24:18,9.850682539173324e-12,0.10431376824112704,9.793
16,2026-04-09T17:24:20,1.1055127825126353e-11,0.12610990958944512,12.154
17,2026-04-09T17:24:23,1.0292192074560042e-11,0.11252891579829338,10.683
18,2026-04-09T17:24:25,8.684410124567079e-12,0.11408774243261632,10.852
19,2026-04-09T17:24:28,1.0216845263960249e-11,0.11775521902063701,11.25
20,2026-04-09T17:24:30,1.0408360498806745e-11,0.10315448783671854,9.667
21,2026-04-09T17:24:32,1.0704935062539618e-11,0.10153364208611038,9.491
22,2026-04-09T17:24:35,1.0603552626504051e-11,0.10252475527136085,9.599
23,2026-04-09T17:24:37,1.1573077585417986e-11,0.12393446981820944,11.918
24,2026-04-09T17:24:40,1.1174935315817237e-11,0.12251518619552826,11.765
25,2026-04-09T17:24:42,2.5032595315653164e-11,0.11499179032000484,10.95
26,2026-04-09T17:24:45,-5.17470371587215e-12,0.10404780164628846,9.764
27,2026-04-09T17:24:47,2.2388389013416356e-12,0.12257959066243984,11.772
28,2026-04-09T17:24:50,2.4075821394854436e-12,0.12335244426537884,11.855
